assignmentId,seatId,tableId,guestId,confirmationId,createdAt,updatedAt
assign_033,mesa_005-seat-1,mesa_005,guest_033,conf_006,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_034,mesa_005-seat-2,mesa_005,guest_034,conf_006,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_035,mesa_005-seat-3,mesa_005,guest_035,conf_007,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_036,mesa_005-seat-4,mesa_005,guest_036,conf_007,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_037,mesa_005-seat-5,mesa_005,guest_037,conf_007,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_038,mesa_005-seat-6,mesa_005,guest_038,conf_008,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_039,mesa_005-seat-7,mesa_005,guest_039,conf_008,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_040,mesa_005-seat-8,mesa_005,guest_040,conf_008,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_041,mesa_006-seat-1,mesa_006,guest_041,conf_008,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_042,mesa_006-seat-2,mesa_006,guest_042,conf_009,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_043,mesa_006-seat-3,mesa_006,guest_043,conf_009,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
assign_044,mesa_006-seat-4,mesa_006,guest_044,conf_010,2026-06-01T11:30:00.000Z,2026-06-01T11:30:00.000Z
